match_api_id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,team_api_id,team_long_name,id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
489042,2008/2009,10260,10261,1,1,10260,Manchester United,807,11,10260,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
489042,2008/2009,10260,10261,1,1,10260,Manchester United,808,11,10260,2011-02-22 00:00:00,65,Balanced,,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover
489042,2008/2009,10260,10261,1,1,10260,Manchester United,809,11,10260,2012-02-22 00:00:00,46,Balanced,,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover
489042,2008/2009,10260,10261,1,1,10260,Manchester United,810,11,10260,2013-09-20 00:00:00,46,Balanced,,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover
489042,2008/2009,10260,10261,1,1,10260,Manchester United,811,11,10260,2014-09-19 00:00:00,46,Balanced,34,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover
489042,2008/2009,10260,10261,1,1,10260,Manchester United,812,11,10260,2015-09-10 00:00:00,38,Balanced,42,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,71,1,9825,2010-02-22 00:00:00,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,72,1,9825,2011-02-22 00:00:00,75,Fast,,Little,40,Mixed,Free Form,40,Normal,45,Normal,65,Normal,Free Form,50,Medium,40,Press,45,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,73,1,9825,2012-02-22 00:00:00,25,Slow,,Little,32,Short,Organised,41,Normal,34,Normal,30,Little,Free Form,57,Medium,57,Press,52,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,74,1,9825,2013-09-20 00:00:00,30,Slow,,Little,29,Short,Organised,41,Normal,55,Normal,39,Normal,Free Form,64,Medium,54,Press,52,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,75,1,9825,2014-09-19 00:00:00,59,Balanced,51,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
489043,2008/2009,9825,8659,1,0,9825,Arsenal,76,1,9825,2015-09-10 00:00:00,59,Balanced,51,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1249,106,8472,2010-02-22 00:00:00,60,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,55,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1250,106,8472,2011-02-22 00:00:00,55,Balanced,,Little,55,Mixed,Organised,55,Normal,65,Normal,55,Normal,Organised,45,Medium,55,Press,65,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1251,106,8472,2012-02-22 00:00:00,67,Fast,,Little,62,Mixed,Organised,44,Normal,72,Lots,59,Normal,Organised,47,Medium,53,Press,60,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1252,106,8472,2013-09-20 00:00:00,57,Balanced,,Little,66,Mixed,Organised,56,Normal,31,Little,72,Lots,Organised,47,Medium,52,Press,49,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1253,106,8472,2014-09-19 00:00:00,60,Balanced,33,Little,61,Mixed,Organised,56,Normal,44,Normal,58,Normal,Organised,41,Medium,38,Press,53,Normal,Cover
489044,2008/2009,8472,8650,0,1,8472,Sunderland,1254,106,8472,2015-09-10 00:00:00,43,Balanced,43,Normal,51,Mixed,Organised,59,Normal,50,Normal,55,Normal,Organised,47,Medium,45,Press,49,Normal,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1385,19,8654,2010-02-22 00:00:00,58,Balanced,,Little,30,Short,Organised,31,Safe,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1386,19,8654,2011-02-22 00:00:00,35,Balanced,,Little,35,Mixed,Organised,30,Safe,45,Normal,45,Normal,Organised,45,Medium,45,Press,50,Normal,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1387,19,8654,2012-02-22 00:00:00,63,Balanced,,Little,64,Mixed,Organised,44,Normal,60,Normal,55,Normal,Organised,30,Deep,34,Press,38,Normal,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1388,19,8654,2013-09-20 00:00:00,72,Fast,,Little,73,Long,Organised,61,Normal,74,Lots,32,Little,Organised,30,Deep,37,Press,41,Normal,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1389,19,8654,2014-09-19 00:00:00,72,Fast,39,Normal,73,Long,Organised,68,Risky,71,Lots,32,Little,Organised,30,Deep,34,Press,41,Normal,Cover
489045,2008/2009,8654,8528,2,1,8654,West Ham United,1390,19,8654,2015-09-10 00:00:00,77,Fast,37,Normal,57,Mixed,Organised,68,Risky,73,Lots,29,Little,Organised,30,Deep,37,Press,41,Normal,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,77,2,10252,2010-02-22 00:00:00,70,Fast,,Little,59,Mixed,Organised,65,Normal,70,Lots,50,Normal,Free Form,30,Deep,70,Double,30,Narrow,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,78,2,10252,2011-02-22 00:00:00,65,Balanced,,Little,50,Mixed,Organised,45,Normal,55,Normal,50,Normal,Organised,35,Medium,45,Press,65,Normal,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,79,2,10252,2012-02-22 00:00:00,67,Fast,,Little,58,Mixed,Organised,44,Normal,60,Normal,56,Normal,Organised,43,Medium,50,Press,52,Normal,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,80,2,10252,2013-09-20 00:00:00,63,Balanced,,Little,59,Mixed,Organised,52,Normal,55,Normal,34,Normal,Organised,39,Medium,41,Press,54,Normal,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,81,2,10252,2014-09-19 00:00:00,66,Balanced,32,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover
489046,2008/2009,10252,8456,4,2,10252,Aston Villa,82,2,10252,2015-09-10 00:00:00,63,Balanced,37,Normal,54,Mixed,Organised,60,Normal,48,Normal,38,Normal,Organised,35,Medium,44,Press,54,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,405,7,8668,2010-02-22 00:00:00,60,Balanced,,Little,65,Mixed,Organised,60,Normal,70,Lots,45,Normal,Organised,40,Medium,70,Double,40,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,406,7,8668,2011-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Organised,55,Normal,70,Lots,55,Normal,Organised,55,Medium,65,Press,60,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,407,7,8668,2012-02-22 00:00:00,56,Balanced,,Little,56,Mixed,Organised,48,Normal,57,Normal,56,Normal,Organised,50,Medium,50,Press,60,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,408,7,8668,2013-09-20 00:00:00,58,Balanced,,Little,62,Mixed,Organised,48,Normal,59,Normal,32,Little,Organised,41,Medium,44,Press,59,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,409,7,8668,2014-09-19 00:00:00,61,Balanced,34,Normal,42,Mixed,Organised,39,Normal,59,Normal,48,Normal,Organised,52,Medium,58,Press,60,Normal,Cover
489047,2008/2009,8668,8655,2,3,8668,Everton,410,7,8668,2015-09-10 00:00:00,43,Balanced,45,Normal,40,Mixed,Organised,39,Normal,33,Little,63,Normal,Organised,52,Medium,58,Press,59,Normal,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,830,12,8549,2010-02-22 00:00:00,70,Fast,,Little,70,Long,Organised,70,Risky,70,Lots,50,Normal,Organised,30,Deep,70,Double,30,Narrow,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,831,12,8549,2011-02-22 00:00:00,66,Balanced,,Little,51,Mixed,Organised,64,Normal,64,Normal,48,Normal,Organised,54,Medium,44,Press,49,Normal,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,832,12,8549,2012-02-22 00:00:00,60,Balanced,,Little,72,Long,Organised,40,Normal,56,Normal,72,Lots,Organised,38,Medium,42,Press,42,Normal,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,833,12,8549,2013-09-20 00:00:00,60,Balanced,,Little,40,Mixed,Organised,40,Normal,56,Normal,57,Normal,Organised,38,Medium,42,Press,52,Normal,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,834,12,8549,2014-09-19 00:00:00,60,Balanced,28,Little,56,Mixed,Organised,49,Normal,56,Normal,72,Lots,Organised,38,Medium,42,Press,42,Normal,Cover
489048,2008/2009,8549,8586,2,1,8549,Middlesbrough,835,12,8549,2015-09-10 00:00:00,60,Balanced,32,Little,46,Mixed,Organised,43,Normal,55,Normal,37,Normal,Organised,38,Medium,42,Press,42,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,198,4,8559,2010-02-22 00:00:00,55,Balanced,,Little,70,Long,Organised,70,Risky,70,Lots,45,Normal,Organised,35,Medium,70,Double,35,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,199,4,8559,2011-02-22 00:00:00,45,Balanced,,Little,70,Long,Organised,55,Normal,70,Lots,50,Normal,Organised,40,Medium,55,Press,50,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,200,4,8559,2012-02-22 00:00:00,57,Balanced,,Little,56,Mixed,Organised,45,Normal,54,Normal,54,Normal,Organised,48,Medium,48,Press,58,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,201,4,8559,2013-09-20 00:00:00,57,Balanced,,Little,53,Mixed,Organised,42,Normal,38,Normal,54,Normal,Organised,39,Medium,48,Press,58,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,202,4,8559,2014-09-19 00:00:00,57,Balanced,37,Normal,73,Long,Organised,72,Risky,43,Normal,56,Normal,Organised,39,Medium,48,Press,58,Normal,Cover
489049,2008/2009,8559,10194,3,1,8559,Bolton Wanderers,203,4,8559,2015-09-10 00:00:00,57,Balanced,34,Normal,61,Mixed,Organised,72,Risky,60,Normal,38,Normal,Organised,39,Medium,48,Press,58,Normal,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,597,1952,8667,2010-02-22 00:00:00,65,Balanced,,Little,60,Mixed,Organised,70,Risky,70,Lots,55,Normal,Organised,70,High,70,Double,70,Wide,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,598,1952,8667,2011-02-22 00:00:00,49,Balanced,,Little,52,Mixed,Organised,64,Normal,64,Normal,37,Normal,Organised,46,Medium,46,Press,67,Wide,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,599,1952,8667,2012-02-22 00:00:00,61,Balanced,,Little,48,Mixed,Organised,38,Normal,60,Normal,54,Normal,Organised,38,Medium,42,Press,46,Normal,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,600,1952,8667,2013-09-20 00:00:00,63,Balanced,,Little,48,Mixed,Organised,38,Normal,60,Normal,54,Normal,Organised,34,Medium,37,Press,46,Normal,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,601,1952,8667,2014-09-19 00:00:00,56,Balanced,35,Normal,51,Mixed,Organised,54,Normal,60,Normal,48,Normal,Organised,38,Medium,37,Press,46,Normal,Cover
489050,2008/2009,8667,9879,2,1,8667,Hull City,602,1952,8667,2015-09-10 00:00:00,56,Balanced,40,Normal,55,Mixed,Organised,54,Normal,49,Normal,56,Normal,Organised,38,Medium,37,Press,46,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,307,5,8455,2010-02-22 00:00:00,70,Fast,,Little,60,Mixed,Free Form,56,Normal,70,Lots,70,Lots,Free Form,30,Deep,60,Press,35,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,308,5,8455,2011-02-22 00:00:00,60,Balanced,,Little,50,Mixed,Free Form,60,Normal,60,Normal,80,Lots,Free Form,35,Medium,55,Press,50,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,309,5,8455,2012-02-22 00:00:00,60,Balanced,,Little,45,Mixed,Organised,55,Normal,45,Normal,45,Normal,Organised,60,Medium,62,Press,46,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,310,5,8455,2013-09-20 00:00:00,46,Balanced,,Little,41,Mixed,Organised,46,Normal,61,Normal,63,Normal,Organised,42,Medium,43,Press,46,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,311,5,8455,2014-09-19 00:00:00,67,Fast,52,Normal,38,Mixed,Organised,41,Normal,61,Normal,68,Lots,Organised,39,Medium,41,Press,46,Normal,Cover
489051,2008/2009,8455,8462,4,0,8455,Chelsea,312,5,8455,2015-09-10 00:00:00,67,Fast,41,Normal,36,Mixed,Organised,41,Normal,34,Normal,44,Normal,Organised,39,Medium,41,Press,46,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,807,11,10260,2010-02-22 00:00:00,70,Fast,,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,808,11,10260,2011-02-22 00:00:00,65,Balanced,,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,809,11,10260,2012-02-22 00:00:00,46,Balanced,,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,810,11,10260,2013-09-20 00:00:00,46,Balanced,,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,811,11,10260,2014-09-19 00:00:00,46,Balanced,34,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover
489132,2008/2009,10260,8654,2,0,10260,Manchester United,812,11,10260,2015-09-10 00:00:00,38,Balanced,42,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover
489133,2008/2009,9825,8586,4,4,9825,Arsenal,71,1,9825,2010-02-22 00:00:00,66,Balanced,,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover
